Product Number,Description,Interior Style Recommendation,Application Recommendations
612NS1277,"Ink offers a warm beige marble-stone with soft veining that reads elegant rather than busy. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm modern; quiet luxury; soft contemporary,"Living room floor, master bedroom, bathroom wall, powder room, boutique hospitality"
612K1283,"Bergman presents a dramatic charcoal marble with bold contrast and strong natural movement for statement-led spaces. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; dark luxe; hospitality glamour,"Feature floor, statement wall, powder room, boutique retail, reception/lobby"
612K1290,"Siena presents a pale silver-white marble with refined veining that keeps the room bright without feeling flat. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary classic; quiet luxury; light luxury,"Dining floor, living room, bathroom wall, kitchen backsplash wall"
612GTO1,"Iceland White presents a crisp, unblemished white full-body marble with the finest whisper of linear grey veining — cool, pristine and effortlessly expansive. The reflective surface lifts available light and gives the room a more open, hotel-luxe quality that is near impossible to replicate with any other material.",Minimalist luxury; pristine modern; hotel contemporary,"Living room floor, feature wall, master bathroom, grand foyer, open-plan spaces"
612GT117,"Classic Shaanna presents a warm ivory-cream full-body marble with gentle flowing movement and a polished sheen that reads timeless and welcoming in equal measure. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that feels both classic and deeply liveable.",Warm contemporary luxury; modern classic; resort elegance,"Living room floor, dining floor, master bedroom, bathroom wall, grand foyer, hotel corridor"
612GT1315,"Tianshan Snow presents a soft warm-cream full-body marble with gentle natural stone movement and a luminous, spa-like polish that is deeply restful without ever feeling bland. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that layers beautifully with timber, rattan and warm metallics.",Warm luxury; resort modern; spa contemporary,"Living room floor, master bedroom floor, bathroom wall, dining area, feature wall, hotel-style spaces"
612GT211,"Jingtai Rock presents a cool, composed light-grey full-body marble with a finely grained, mineral-rich surface that gives interiors an architectural precision and quiet authority. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that works seamlessly alongside concrete, oak and brushed steel.",Architectural luxury; urban contemporary; modern minimalism,"Living room floor, foyer, office floor, feature wall, bathroom wall, commercial reception"
612GT1416,"June Rain presents a near-white full-body marble with the softest grey-cloud movement — as delicate and transient as a summer rain — bringing a serene, light-filled elegance to any space it inhabits. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that makes large open plans feel genuinely boundless.",Quiet luxury; modern resort; spa minimalism,"Living room floor, bedroom floor, bathroom wall, feature wall, grand foyer, wellness spa"
612GT1417,"Fog South presents an ultra-white full-body marble with barely-there movement that recalls the mist of a southern river at dawn — pure, immaculate and profoundly serene. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish, making it the defining choice for those who want a space to feel both expansive and deeply still.",Pristine luxury; hotel minimalism; Zen contemporary,"Grand foyer, open-plan living, master bathroom, bedroom floor, reception lobby"
612GT1418,"Silky Jade presents a warm ivory-cream full-body marble with a jade-soft translucency and the gentlest stone movement — intimate, refined and possessed of a quality that only deepens with familiarity. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that pairs beautifully with warm brass, aged timber and sculptural furniture.",Warm luxury; contemporary resort; quiet classical,"Master bedroom, living room floor, bathroom wall, powder room, boutique hospitality, dining feature wall"
612GT1462,"Royal White presents a regal off-white full-body marble with soft directional stone movement and an elevated, polished presence that carries the quiet confidence of a truly premium surface. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that holds up beautifully against the boldest design gestures and the most restrained.",Classic luxury; contemporary formal; premium residential,"Living room floor, feature wall, master bathroom, grand foyer, dining room, high-end retail"
612GT1463,"Clouds Among Water presents a brilliantly white full-body marble with cloud-like, feathered movement that gives the surface a living, almost atmospheric quality — one of those rare tiles that looks genuinely different in morning light versus evening. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish ideal for light-maximising interiors.",Luxury minimalism; hotel penthouse; formal contemporary,"Grand foyer, living room floor, master bathroom, feature wall, reception spaces, boutique luxury retail"
612GTO5,"Atlantic Grey presents a light silver-grey full-body marble with a fine, open-grain stone texture and a polished surface that reads calm, composed and architecturally assured. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that pairs naturally with cooler palettes, polished concrete and chrome accents.",Urban contemporary; modern minimalism; Scandinavian luxury,"Living room floor, bathroom wall, foyer, office, feature wall, commercial reception"
612GTO6,"Pacific Grey presents a medium silver-grey full-body marble with a pronounced natural stone grain and a commanding, high-polish presence that brings genuine gravitas to larger surfaces. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that anchors dining areas, living rooms and statement lobbies with equal authority.",Modern luxury; architectural contemporary; urban bold,"Living room floor, dining area floor, feature wall, commercial lobby, foyer, master bathroom"
612GTO16,"Fog Rock Grey presents a medium-toned grey full-body marble with a rocky, mineral surface quality and a luminous gloss that keeps the depth and texture of natural stone while adding a distinctly elevated, hotel-grade polish. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that suits both large-format open plans and intimate feature walls.",Modern luxury; dark contemporary; urban elegant,"Living room floor, feature wall, master bathroom, dining floor, commercial lobby, bar area"
612GTO17,"Texture Grey presents a clean light-grey full-body marble with a refined, tactile grain that rewards close inspection — composed and precise at a distance, but layered and interesting up close. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that works effortlessly as a whole-floor solution or as a grounding feature backdrop.",Architectural minimalism; contemporary luxury; Japandi-adjacent,"Living room floor, foyer, bathroom wall, bedroom floor, open-plan spaces, retail spaces"
612GTO53,"Beidou Rock presents a pale grey full-body marble with a fine, close-grained rock texture and a cool, considered surface that evokes the clarity of northern stone formations. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that feels neither clinical nor cold — just perfectly, architecturally right.",Quiet luxury; Nordic modern; architectural Zen,"Living room floor, bedroom floor, bathroom wall, foyer, office interior, calm open-plan spaces"
